Manufacturer,Comment,Designator,Footprint,Quantity,PartNumber,Source
FH 风华,100pF,C7,C_0402_1005Metric,1,C1546,JLC
SAMSUNG 三星,10nF,C4,C_0402_1005Metric,1,C15195,JLC
SAMSUNG 三星,0.1uF,C2 C5 C12 C13 C16,C_0402_1005Metric,5,C1525,JLC
SAMSUNG 三星,1uF,C3 C8 C11 C14 C15,C_0402_1005Metric,5,C52923,JLC
SAMSUNG 三星,4.7uF,C1,C_0402_1005Metric,1,C23733,JLC
SAMSUNG 三星,10uF,C6,C_0402_1005Metric,1,C15525,JLC
SAMSUNG 三星,10uF/25V,C9 C10,C_0603_1608Metric,2,C96446,JLC
UNIOHM 台湾厚声,0,R10,R_0402_1005Metric,1,C17168,JLC
UNIOHM 台湾厚声,1K,R5 R7 R8,R_0402_1005Metric,3,C11702,JLC
UNIOHM 台湾厚声,5.1K,R3 R4,R_0402_1005Metric,2,C25905,JLC
UNIOHM 台湾厚声,10K,R6 R9 R11 R12 R13,R_0402_1005Metric,5,C25744,JLC
UNIOHM 台湾厚声,10K,R14,R_0603_1608Metric,1,C25804,JLC
CJ 江苏长电,2N7002,Q2,SOT-23,1,C8545,JLC
AWINIC 艾为,AW9364DNR,U2,AW9364DNR_DFN2x2-8L,1,C401007,JLC-EXT
广州寒武纪电子,CA-C03,AE1,CrossAir_CA-C03,1,C2838842,JLC-EXT
LRC 乐山无线电,LESD5Z5.0CT1G,D1 D2 D3,D_SOD-523,3,C136167,JLC-EXT
ESPRESSIF 乐鑫,ESP32-PICO-V3-02,U4,ESP32-PICO_QFN-48_7x7mm_P0.5mm_EP4.5x4.5mm_ThermalVias,1,C908392,JLC-EXT
HNDZ 华能,HMB1206-05,BZ1,HNDZ_TMB1206-05,1,C96095,JLC-EXT
HRO 韩荣,TYPE-C-31-M-12,J1,HRO_TYPE-C-31-M-12,1,C165948,JLC-EXT
JS 钜硕电子,ZJY144S025,J2,JS_AFC11-S14ICC-00,1,C11070,JLC-EXT
欧思科光电,SK6805-EC15,D4,LED_SK6805_EC15_1.5x1.5mm,1,C2890035,JLC-EXT
CONNFLY,GPIO,J3,PinSocket_2x09_P2.54mm_Vertical,1,C132125,JLC-EXT
SILICON LABS 芯科,CP2102N-A02-GQFN24R,U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,C969151,JLC-EXT
UNIOHM 台湾厚声,22.1K(1%),R1,R_0402_1005Metric,1,C43473,JLC-EXT
UNIOHM 台湾厚声,47.5K(1%),R2,R_0402_1005Metric,1,C25896,JLC-EXT
SHOU HAN 首韩,EN,SW1 SW2,SHOUHAN_TS24ZJ,2,C398056,JLC-EXT
DIODES 美台,BC847BVC-7,Q1,SOT-563,2,C150761,JLC-EXT
EXAR 艾科嘉,SPX3819M5-L-3-3,U3,SOT-23-5,1,C9055,JLC-REC
